601318,2,2000,3
600519,2,100,4
600036,2,1000,4
601166,2,2000,5
600016,2,3000,4
600887,2,1000,6
601328,2,2000,6
601288,2,5000,8
600000,2,1000,7
601398,2,5000,5
300378,2,200,4
002563,2,300,4
002649,2,600,3
002327,3,300,5
000301,2,500,5
002614,2,100,5
002293,2,200,4
002470,2,800,3
300188,2,200,6
300584,2,40,3
000825,2,2000,5
002376,2,400,3
600308,2,500,5
002373,2,1000,4
000989,2,200,4
000552,2,1000,4
002645,2,100,4
002439,2,300,4
002737,2,150,5
000996,2,300,5
300388,2,100,5
002428,2,400,4
600195,2,200,3
002488,2,300,5
600606,2,4000,5
600348,2,500,6
300418,2,300,5
300133,2,600,6
600060,2,500,5
002073,2,500,4
600283,2,400,4
600143,2,700,6
002385,3,1000,5
300270,2,100,5
300380,2,100,5
300559,2,100,3
300253,2,500,6
002666,2,600,4
300348,2,200,4
300004,2,400,4
600380,2,500,4
002229,3,500,6
002707,3,300,4
600352,2,3000,3
600567,2,2000,8
002713,2,100,4
600410,2,500,6
000876,3,2000,4
000729,2,500,4
600970,2,500,5
300059,2,2000,5
300399,3,100,4
600623,2,500,3
600299,2,200,4
002727,2,100,4
601678,2,500,4
000681,2,200,4
002223,2,200,4
002063,2,300,4
000528,2,700,5
300027,2,1200,4
002644,3,300,4
002440,2,500,4
603877,2,100,3
603025,2,100,3
600359,3,200,7
300058,2,1000,4
300369,2,300,5
