300485,3,100,4
300348,2,100,12
300170,2,400,4
002769,2,400,6
300273,2,600,5
300452,2,100,4
300561,2,100,5
300404,2,100,5
300059,2,2000,5
300559,3,100,3
300377,2,500,7
600596,2,500,5
300181,2,400,7
300287,2,500,5
000681,2,200,4
300046,2,100,5
300047,2,100,10
300380,2,100,5
002693,2,1000,10
300532,2,100,6
300531,2,150,5
300465,2,200,10
300253,2,500,6
300168,2,500,5
002900,2,400,5
300339,2,300,5
300188,2,200,6
603990,2,100,3
300075,2,400,5
002376,2,400,3
603528,2,300,5
601117,3,1000,7
002863,2,500,4
002439,2,300,4
300369,2,500,5
600410,2,500,6
002771,2,300,4
002063,2,400,8
600360,2,500,6
300212,3,400,5
300541,2,100,6
002649,2,600,3
300451,2,100,10
300379,2,200,5
000066,2,500,5
603019,2,300,7
603859,2,100,5
300378,2,100,8
603138,2,100,6
603496,2,150,5
300277,2,500,5
603232,2,100,3
300386,2,100,10
002474,2,300,8
300493,2,150,7
000670,2,1000,6
603042,2,100,6
603963,2,150,8
300352,2,1000,5
300353,2,500,8
600756,2,500,8
300520,2,150,6
603336,2,100,10
603617,2,100,5
300155,2,300,8
300162,2,800,4
300519,2,100,3
300526,2,150,6
002390,2,1000,4
002563,2,300,4
600299,2,100,8
300534,2,300,6
300439,2,100,4
300326,2,700,4
603976,2,100,6
300463,2,200,5
300199,2,200,6
300406,2,200,5
002550,2,500,5
300182,2,500,7
002846,2,500,4
000650,2,1000,5
300637,2,300,3
000519,2,300,8
603345,2,100,5
002332,3,500,9
300543,2,100,5
603535,2,100,5
603811,2,100,4
600351,2,500,6
603517,2,100,4
002858,2,150,3
002826,2,150,6
300562,2,150,5
603605,2,150,4
603378,2,200,5
300509,2,150,3
603139,2,100,4
002432,2,500,5
600789,2,500,6
002899,2,100,5
002875,2,100,3
300431,2,300,6
300583,2,100,3
300359,2,300,6
300177,2,1000,6
002229,3,500,5
300300,2,400,5
300621,2,150,4
300085,2,200,8
002919,2,100,7
002727,3,100,14
300529,2,100,5
300651,2,100,3
002848,2,150,5
300101,2,500,5
300429,2,100,5
300350,2,300,5
300331,2,150,4
300576,3,200,4
002373,2,500,8
603718,3,300,6
300546,2,100,4
600988,2,1000,5
603029,2,100,6
000948,2,300,7
002655,2,500,6
300565,2,100,7
300716,2,100,5
603421,2,100,7
002181,2,1000,9
300522,2,100,5
002815,2,200,7
300007,2,150,6
300620,2,100,4
300563,2,100,5
603738,2,100,4
300585,2,150,8
300686,2,150,5
603396,2,100,6
300333,2,1000,8
603076,2,200,6
603320,2,100,4
300139,2,500,7
300077,2,1000,8
300555,2,200,7
300597,2,200,10
300615,2,100,3
