HLT,2,500,3,5000,1
HFC,2,200,3,2300,1
HOLX,2,200,3,2000,1
HD,2,600,3,6000,1
HRL,2,500,3,5000,1
HST,2,600,3,6000,1
HPQ,2,1000,5,10000,1
HUM,2,200,3,1100,1
HBAN,2,1000,3,10000,1
HII,2,200,3,1000,1
IDXX,2,200,3,1000,1
INFO,2,200,3,2000,1
ITW,2,200,3,1500,1
ILMN,2,200,3,1200,1
IR,2,300,3,3000,1
INTC,2,1000,10,10000,1
ICE,2,300,3,3000,1
IBM,2,700,3,7000,1
INCY,2,200,3,2000,1
IP,2,400,3,4000,1
IPG,2,500,3,5000,1
IFF,2,200,3,1100,1
INTU,2,300,3,2500,1
ISRG,2,200,3,1100,1
IVZ,2,500,3,5000,1
IPGP,2,200,3,1000,1
IQV,2,300,3,3000,1
IRM,2,200,3,2000,1
JKHY,2,200,3,1000,1
JEC,2,200,3,2000,1
JBHT,2,200,3,1200,1
JEF,2,200,3,2400,1
SJM,2,200,3,2000,1
JNJ,2,1000,5,10000,1
JCI,2,600,3,6000,1
JPM,2,1000,5,10000,1
JNPR,2,400,3,4000,1
KSU,2,200,3,1300,1
K,2,300,3,3000,1
KEYS,2,1000,3,10000,1
KMB,2,200,3,2000,1
KIM,2,400,3,4000,1
KMI,2,1000,10,10000,1
KLAC,2,200,3,1400,1
KSS,2,300,3,3000,1
KHC,2,500,3,5000,1
KR,2,1000,3,5000,1
LB,2,400,3,4000,1
LLL,2,200,3,1000,1
LH,2,200,3,12000,1
LRCX,2,300,3,3000,1
LW,2,200,3,2000,1
LEG,2,200,3,1500,1
LEN,2,400,3,4000,1
LLY,2,500,3,5000,1
LNC,2,200,3,1900,1
LIN,2,300,3,3000,1
LKQ,2,300,3,3000,1
LMT,2,200,3,2000,1
L,2,200,3,1500,1
LOW,2,600,3,6000,1
LYB,2,300,3,3000,1
MTB,2,200,3,1500,1
MAC,2,200,3,1000,1
M,2,700,3,7000,1
MRO,2,1000,3,10000,1
MPC,2,600,3,6000,1
MAR,2,200,3,2000,1
MMC,2,300,3,3000,1
MLM,2,200,3,1000,1
MAS,2,300,3,3000,1
MA,2,500,3,5000,1
MAT,2,500,3,5000,1
MKC,2,200,3,1200,1
MXIM,2,400,3,4000,1
MCD,2,400,3,4000,1
MCK,2,200,3,2000,1
MDT,2,500,3,5000,1
MRK,2,1000,5,10000,1
MET,2,500,3,5000,1
MTD,2,200,3,1000,1
MGM,2,500,3,5000,1
KORS,2,500,3,5000,1
MCHP,2,300,3,3000,1
MU,2,1000,5,10000,1
MSFT,2,1000,5,10000,1
MAA,2,200,3,1000,1
MHK,2,200,3,1000,1
TAP,2,200,3,2000,1
MDLZ,2,1000,5,10000,1
MNST,2,300,3,3000,1
MCO,2,200,3,1300,1
MS,2,1000,5,5000,1
MOS,2,300,3,3000,1
MSI,2,200,3,1300,1
MSCI,2,200,3,1500,1
MYL,2,400,3,4000,1
NDAQ,2,200,3,2000,1
NOV,2,300,3,3000,1
NKTR,2,200,4,2000,1
NTAP,2,400,3,4000,1
NFLX,2,1000,3,10000,1
NWL,2,1000,5,10000,1
NFX,2,600,3,6000,1
NEM,2,600,3,6000,1
NWSA,2,300,3,3000,1
NWS,2,200,3,1000,1
NEE,2,200,3,2000,1
NLSN,2,300,3,3000,1
NKE,2,800,3,8000,1
NI,2,400,3,4000,1
NBL,2,500,3,5000,1
JWN,2,400,3,4000,1
NSC,2,200,3,2300,1
NTRS,2,200,3,1500,1
NOC,2,200,3,1000,1
NCLH,2,200,3,2500,1
NRG,2,500,3,5000,1
NUE,2,300,3,3000,1
NVDA,2,1000,4,10000,1
ORLY,2,200,3,1200,1
OXY,2,500,3,5000,1
OMC,2,300,3,3000,1
OKE,2,300,3,3000,1
ORCL,2,1000,5,10000,1
PCAR,2,300,3,2000,1
PKG,2,200,3,1200,1
PH,2,200,3,1200,1
PAYX,2,300,3,3000,1
PNR,2,200,3,1700,1
PBCT,2,500,3,5000,1
PEP,2,500,3,5000,1
PKI,2,200,3,1000,1
PRGO,2,200,3,1200,1
PFE,2,1000,5,10000,1
PYPL,2,1000,4,10000,1
PCG,2,500,3,5000,1
PM,2,500,3,5000,1
PSX,2,300,3,3000,1
PNW,2,200,3,1500,1
PXD,2,200,3,2000,1
PNC,2,300,3,3000,1
RL,2,200,3,1500,1
PPG,2,200,3,2000,1
PPL,2,500,3,5000,1
PFG,2,200,3,2000,1
PG,2,1000,5,10000,1
PGR,2,500,3,5000,1
PLD,2,300,3,3000,1
PRU,2,300,3,2200,1
PEG,2,300,4,3000,1
PSA,2,200,3,1700,1
PHM,2,500,3,5000,1
PVH,2,300,3,3000,1
QRVO,2,200,3,1700,1
PWR,2,200,3,1700,1
QCOM,2,1000,5,10000,1
DGX,2,300,3,2000,1
RJF,2,200,3,1500,1
RTN,2,200,3,2000,1
O,2,300,3,3000,1
RHT,2,300,3,3000,1
REG,2,200,3,1300,1
REGN,2,200,3,1000,1
RF,2,1000,5,10000,1
RSG,2,200,3,2000,1
RMD,2,200,3,1500,1
RHI,2,200,3,1300,1
ROK,2,200,3,1000,1
ROL,2,200,3,1000,1
ROP,2,200,3,1000,1
ROST,2,300,3,3000,1
RCL,2,200,3,1500,1
CRM,2,700,3,7000,1
SBAC,2,200,3,1000,1
SCG,2,200,3,1500,1
SLB,2,1000,5,10000,1
STX,2,500,3,5000,1
SEE,2,200,3,3000,1
SRE,2,300,3,3000,1
SHW,2,200,3,1000,1
SPG,2,200,3,2000,1
SWKS,2,300,3,3000,1
SLG,2,200,3,1000,1
SNA,2,200,3,1000,1
SO,2,700,3,7000,1
LUV,2,400,3,4000,1
SPGI,2,200,3,2000,1
SWK,2,200,3,1500,1
SBUX,2,1000,5,10000,1
STT,2,300,3,3000,1
SYK,2,200,3,2000,1
STI,2,300,3,3000,1
SIVB,2,200,3,1000,1
SYMC,2,500,3,5000,1
SYF,2,500,3,5000,1
SNPS,2,200,3,1300,1
SYY,2,300,3,3000,1
TROW,2,200,3,2000,1
TTWO,2,300,3,2000,1
TPR,2,400,3,4000,1
TGT,2,700,3,7000,1
TEL,2,200,3,2000,1
FTI,2,400,3,4000,1
