603920,2,100,5,0,1
603803,2,200,4,0,1
603679,2,100,3,0,1
603628,2,100,5,0,1
603535,2,100,5,0,1
603421,2,100,7,0,1
603396,2,100,6,0,1
603226,2,100,8,0,1
601858,2,200,5,0,1
600855,3,500,4,4000,1
600810,2,500,5,0,1
600756,2,300,8,0,1
600677,3,500,7,0,1
600330,3,500,5,7900,1
600237,2,700,7,0,1
600171,2,500,4,0,1
300637,2,300,3,0,1
300615,2,200,3,0,1
300586,2,400,5,0,1
300580,2,100,5,0,1
300576,3,100,4,0,1
300539,3,100,5,0,1
300520,3,200,4,0,1
300423,2,100,3,0,1
300386,2,100,10,0,1
300378,2,100,8,0,1
300356,2,1000,5,0,1
300353,2,500,4,0,1
300333,2,700,8,0,1
300331,2,200,5,0,1
300325,2,500,8,0,1
300312,2,500,4,0,1
300213,3,500,6,0,1
300177,2,500,5,0,1
300155,2,300,8,0,1
300084,2,500,6,0,1
300079,3,1000,7,14000,1
300076,2,400,5,0,1
300040,2,500,4,0,1
300010,3,500,3,4000,1
002875,2,100,3,0,1
002848,2,200,5,0,1
002845,2,200,4,0,1
002797,2,2000,8,0,1
002774,2,150,6,0,1
002724,2,300,4,0,1
002666,2,500,10,0,1
002655,2,500,6,0,1
002474,2,300,8,0,1
002454,2,400,4,0,1
002446,2,500,5,0,1
002369,2,500,7,0,1
002229,3,500,5,0,1
002218,2,1000,5,0,1
002148,2,500,8,0,1
002115,2,500,4,0,1
002079,2,1000,4,0,1
002023,2,500,7,0,1
